 	Area	XM	YM	Circ.	Slice	AR	Round	Solidity
1	40	821.450	579.925	0.082	9	31.390	0.032	0.537
2	1617	831.630	580.768	0.003	10	541.070	0.002	0.345
3	32	822.625	359.406	0.100	10	18.028	0.055	0.542
4	28	824.393	389.750	0.131	10	8.270	0.121	0.455
5	36	824.472	428.028	0.199	10	7.087	0.141	0.649
6	25	824.420	445.540	0.262	10	4.678	0.214	0.625
7	24	825.292	536.375	0.188	10	7.289	0.137	0.545
8	22	0.682	566.318	0.142	10	12.739	0.078	0.629
9	59	825.907	586.500	0.086	10	18.510	0.054	0.599
10	41	1.110	598.549	0.134	10	12.259	0.082	0.626
11	23	1.326	619.717	0.220	10	5.403	0.185	0.639
12	33	826.288	638.894	0.114	10	13.398	0.075	0.516
13	33	1.530	635.712	0.127	10	5.617	0.178	0.541
14	98	826.929	694.622	0.073	10	27.240	0.037	0.573
15	41	2.012	685.720	0.137	10	9.407	0.106	0.480
16	34	2.324	707.471	0.166	10	5.829	0.172	0.459
17	110	827.427	765.282	0.043	10	45.399	0.022	0.554
18	39	3.013	759.218	0.179	10	6.884	0.145	0.531
19	26	3.308	789.731	0.229	10	4.797	0.208	0.675
20	24	3.708	811.708	0.165	10	4.310	0.232	0.533
21	59	828.076	826.161	0.124	10	18.467	0.054	0.843
22	28	4.143	845.107	0.222	10	7.934	0.126	0.651
23	22	828.409	856.682	0.202	10	7.362	0.136	0.557
24	34	4.088	878.676	0.137	10	12.414	0.081	0.739
25	148	829.101	920.649	0.035	10	57.156	0.017	0.570
26	27	4.130	901.130	0.130	10	10.435	0.096	0.675
27	44	826.500	52.000	0.070	11	44.000	0.023	1.000
28	24	827.292	119.542	0.190	11	8.897	0.112	0.558
29	96	827.625	173.417	0.037	11	50.709	0.020	0.432
30	579	829.954	431.961	0.008	11	209.008	0.005	0.322
31	111	832.590	698.653	0.035	11	58.782	0.017	0.426
32	184	834.054	825.799	0.021	11	96.044	0.010	0.413
33	105	835.490	944.395	0.040	11	54.058	0.018	0.498
34	34	836.294	1002.000	0.132	11	13.918	0.072	0.544
35	37	836.500	1035.500	0.083	11	37.000	0.027	1.000
36	46	817.283	146.935	0.091	12	21.633	0.046	0.626
37	1141	821.014	583.762	0.004	12	280.758	0.004	0.294
38	91	826.489	417.522	0.035	12	85.617	0.012	0.672
39	78	827.423	515.756	0.043	12	56.496	0.018	0.642
40	97	828.521	633.820	0.037	12	65.060	0.015	0.505
41	94	829.511	720.223	0.040	12	59.387	0.017	0.514
42	81	830.340	792.475	0.051	12	45.480	0.022	0.681
43	172	831.814	912.186	0.023	12	83.968	0.012	0.527
44	51	823.480	1045.382	0.068	12	32.547	0.031	0.474
45	24	824.292	1096.667	0.149	12	11.655	0.086	0.632
46	1300	1221.623	1130.500	0.006	13	64.196	0.016	0.095
47	33	813.439	26.833	0.100	14	24.700	0.040	0.660
48	24	813.417	61.333	0.140	14	15.921	0.063	0.632
49	1281	820.445	527.728	0.004	14	260.991	0.004	0.309
50	23	825.500	273.500	0.132	14	23.000	0.043	1.000
51	97	826.500	421.500	0.032	14	97.000	0.010	1.000
52	73	827.486	514.651	0.043	14	67.105	0.015	0.673
53	83	828.452	615.693	0.039	14	67.169	0.015	0.678
54	82	829.463	716.122	0.041	14	57.529	0.017	0.441
55	64	830.469	798.500	0.050	14	53.118	0.019	0.660
56	70	831.414	877.400	0.048	14	48.583	0.021	0.562
57	24	832.000	921.000	0.235	14	7.375	0.136	0.814
58	38	832.316	944.263	0.104	14	19.263	0.052	0.650
59	38	823.395	1026.421	0.085	14	23.674	0.042	0.598
60	605	1356.123	1128.341	0.009	14	177.626	0.006	0.258
61	137	1093.069	1131.398	0.038	14	53.983	0.019	0.433
62	93	1001.962	1132.360	0.039	14	50.279	0.020	0.419
63	21	871.500	1133.452	0.137	14	17.166	0.058	0.656
64	40	821.475	573.650	0.084	15	27.127	0.037	0.457
65	21	821.500	603.500	0.144	15	21.000	0.048	1.000
66	38	822.421	696.658	0.082	15	27.059	0.037	0.580
67	65	823.423	767.700	0.054	15	44.782	0.022	0.660
68	72	824.347	844.694	0.048	15	38.676	0.026	0.482
69	66	825.333	926.364	0.050	15	35.478	0.028	0.516
70	22	821.500	572.000	0.138	16	22.000	0.045	1.000
71	23	817.500	122.500	0.132	17	23.000	0.043	1.000
72	66	817.227	183.030	0.057	17	32.302	0.031	0.608
73	35	817.471	230.614	0.105	17	15.580	0.064	0.515
74	46	817.261	266.478	0.074	17	22.988	0.044	0.579
75	150	817.553	348.227	0.027	17	59.736	0.017	0.388
76	50	826.500	428.000	0.062	17	50.000	0.020	1.000
77	131	819.492	476.584	0.030	17	44.641	0.022	0.359
78	21	827.405	507.167	0.161	17	13.177	0.076	0.667
79	116	821.397	585.172	0.031	17	66.347	0.015	0.472
80	91	822.335	675.995	0.040	17	47.437	0.021	0.462
81	83	823.259	757.151	0.044	17	38.878	0.026	0.534
82	31	824.435	857.306	0.106	17	21.747	0.046	0.633
83	981	1262.439	1129.460	0.006	17	211.598	0.005	0.216
84	98	915.571	1133.051	0.067	17	27.854	0.036	0.601
85	47	860.521	1133.457	0.070	17	31.552	0.032	0.480
86	35	821.471	571.443	0.091	18	30.294	0.033	0.680
87	33	823.409	763.500	0.103	18	21.161	0.047	0.641
88	53	827.538	173.198	0.061	19	43.504	0.023	0.635
89	81	828.549	293.759	0.041	19	62.782	0.016	0.648
90	138	829.580	402.283	0.026	19	77.310	0.013	0.466
91	76	830.513	503.132	0.043	19	61.349	0.016	0.429
92	67	831.500	587.097	0.049	19	40.016	0.025	0.372
93	23	831.717	629.457	0.165	19	9.232	0.108	0.548
94	25	832.580	674.100	0.148	19	12.426	0.080	0.515
95	20	832.550	694.750	0.160	19	15.196	0.066	0.690
96	25	833.540	785.420	0.127	19	20.607	0.049	0.685
97	35	834.529	866.500	0.084	19	30.531	0.033	0.660
98	20	829.500	406.000	0.151	20	20.000	0.050	1.000
99	20	829.650	435.300	0.163	20	11.415	0.088	0.656
100	69	830.572	508.935	0.049	20	47.453	0.021	0.627
101	37	831.527	583.230	0.086	20	31.306	0.032	0.679
102	25	831.660	629.620	0.142	20	9.638	0.104	0.481
103	52	832.519	686.769	0.067	20	33.193	0.030	0.446
104	39	833.500	777.500	0.079	20	39.000	0.026	1.000
105	66	834.697	877.485	0.060	20	30.594	0.033	0.526
106	63	835.484	940.516	0.050	20	57.931	0.017	0.674
107	45	836.611	1040.722	0.073	20	25.150	0.040	0.471
108	27	1534.204	1126.426	0.126	21	19.463	0.051	0.684
109	35	1252.986	1129.300	0.093	21	12.696	0.079	0.443
110	30	1572.233	1129.200	0.158	21	7.433	0.135	0.435
111	67	1295.739	1128.828	0.055	21	31.165	0.032	0.510
112	37	1346.365	1128.392	0.096	21	23.345	0.043	0.612
113	33	1418.500	1127.500	0.095	21	33.000	0.030	1.000
114	32	1167.188	1130.469	0.101	21	26.772	0.037	0.681
115	31	1219.242	1129.855	0.120	21	13.239	0.076	0.633
116	21	1132.595	1131.024	0.203	21	7.268	0.138	0.712
117	20	1082.000	1131.500	0.155	21	20.000	0.050	1.000
118	44	826.500	52.000	0.070	22	44.000	0.023	1.000
119	36	827.444	128.306	0.086	22	27.654	0.036	0.626
120	81	827.636	184.920	0.046	22	47.435	0.021	0.675
121	515	829.890	429.985	0.008	22	250.306	0.004	0.375
122	88	832.557	696.182	0.039	22	52.563	0.019	0.451
123	56	833.571	784.786	0.060	22	39.822	0.025	0.571
124	50	834.540	875.700	0.065	22	40.666	0.025	0.637
125	32	835.531	943.062	0.099	22	27.375	0.037	0.681
