"x.m","ym","xd"
0.025,275,890.5
0.025,438,893.5
0.025,593,896.5
0.025,739.5,900
0.025,98,885.5
0.025,273,889
0.025,436,892
0.025,590.5,895
0.025,737.5,898
0.025,97,884
0.025,271,887
0.025,434,890.5
0.025,588.5,893.25
0.025,735.5,897
0.025,94.5,882.5
0.025,269,885.5
0.025,432,889
0.025,587,892.25
0.025,733.5,896
0.025,92.5,880.75
0.025,267.5,884
0.025,430.5,887.25
0.025,585.5,891
0.025,733,894
0.025,88.5,879
0.025,265.5,882.5
0.025,429,886
0.025,584.5,889.5
0.025,732,893
0.025,428.5,885
0.025,584,888.5
0.025,732,892
0.075,260,1088
0.075,413.5,1074.5
0.075,559.5,1063.5
0.075,698,1055
0.075,93.5,1103.5
0.075,258.5,1087.25
0.075,411.5,1073.5
0.075,557.5,1062.5
0.075,696,1054
0.075,92.5,1102.5
0.075,256,1085.25
0.075,410,1072.25
0.075,555.5,1061.25
0.075,694,1053
0.075,90,1101.5
0.075,254,1084.5
0.075,407.5,1071
0.075,554,1060.25
0.075,692.5,1052
0.075,88,1100.75
0.075,252.5,1083.5
0.075,406.5,1070.25
0.075,552,1059.5
0.075,691.5,1051
0.075,84.5,1099
0.075,250.5,1082
0.075,404.5,1069
0.075,551,1058
0.075,690.5,1050
0.075,403.5,1067.5
0.075,550.5,1057
0.075,690,1049
0.125,244.5,1285.5
0.125,389.5,1255
0.125,527,1230
0.125,658.5,1210
0.125,88.5,1320.5
0.125,243,1284.5
0.125,387.5,1254.5
0.125,525.5,1229.5
0.125,656.5,1209
0.125,86.5,1320
0.125,241,1284
0.125,386,1253.75
0.125,524,1228.75
0.125,655.5,1209
0.125,84.5,1319.5
0.125,239,1283
0.125,384.5,1253
0.125,522.5,1228
0.125,653.5,1208
0.125,82.5,1318.5
0.125,237.5,1281.5
0.125,383,1252
0.125,521,1227
0.125,652.5,1207
0.125,79.5,1317
0.125,236,1280.5
0.125,381.5,1250.5
0.125,519.5,1226
0.125,652,1206
0.125,381,1249.5
0.125,519.5,1225
0.125,652,1204
0.175,233,1481.25
0.175,370,1434.5
0.175,501,1395.5
0.175,626,1364
0.175,85,1535.5
0.175,231.5,1481
0.175,368.5,1434.5
0.175,499.5,1395.5
0.175,624,1364
0.175,84,1535.5
0.175,230,1480.5
0.175,367,1434
0.175,498,1395
0.175,622.5,1363
0.175,81.5,1534.5
0.175,228,1479.5
0.175,365.5,1433.5
0.175,496,1394.5
0.175,621,1363
0.175,79.5,1534
0.175,226,1478.5
0.175,364,1432.5
0.175,495,1394
0.175,620,1362
0.175,77,1533.75
0.175,224.5,1477.5
0.175,362.5,1431.5
0.175,493.5,1393
0.175,619,1361
0.175,361.5,1430.5
0.175,492.5,1392
0.175,619,1359
0.225,226,1678.25
0.225,356,1614.25
0.225,481,1561
0.225,599,1518
0.225,86,1751
0.225,224,1677
0.225,354,1613.75
0.225,478.5,1560.75
0.225,598,1518
0.225,84,1749.5
0.225,222,1676
0.225,352,1613.25
0.225,477,1560.5
0.225,596,1517
0.225,82,1749.5
0.225,221,1675.75
0.225,351,1613.25
0.225,476,1560.5
0.225,594,1517
0.225,80,1749.5
0.225,219,1675.25
0.225,350,1612.75
0.225,474,1560
0.225,593,1516
0.225,77,1751.5
0.225,218,1675.75
0.225,348,1613
0.225,472,1560
0.225,593,1516
0.225,347,1612.5
0.225,472,1559
0.225,592,1515
