"y.m","ym","xd"
0.075,275,890.5
0.125,438,893.5
0.175,593,896.5
0.225,739.5,900
0.025,98,885.5
0.075,273,889
0.125,436,892
0.175,590.5,895
0.225,737.5,898
0.025,97,884
0.075,271,887
0.125,434,890.5
0.175,588.5,893.25
0.225,735.5,897
0.025,94.5,882.5
0.075,269,885.5
0.125,432,889
0.175,587,892.25
0.225,733.5,896
0.025,92.5,880.75
0.075,267.5,884
0.125,430.5,887.25
0.175,585.5,891
0.225,733,894
0.025,88.5,879
0.075,265.5,882.5
0.125,429,886
0.175,584.5,889.5
0.225,732,893
0.125,428.5,885
0.175,584,888.5
0.225,732,892
0.075,260,1088
0.125,413.5,1074.5
0.175,559.5,1063.5
0.225,698,1055
0.025,93.5,1103.5
0.075,258.5,1087.25
0.125,411.5,1073.5
0.175,557.5,1062.5
0.225,696,1054
0.025,92.5,1102.5
0.075,256,1085.25
0.125,410,1072.25
0.175,555.5,1061.25
0.225,694,1053
0.025,90,1101.5
0.075,254,1084.5
0.125,407.5,1071
0.175,554,1060.25
0.225,692.5,1052
0.025,88,1100.75
0.075,252.5,1083.5
0.125,406.5,1070.25
0.175,552,1059.5
0.225,691.5,1051
0.025,84.5,1099
0.075,250.5,1082
0.125,404.5,1069
0.175,551,1058
0.225,690.5,1050
0.125,403.5,1067.5
0.175,550.5,1057
0.225,690,1049
0.075,244.5,1285.5
0.125,389.5,1255
0.175,527,1230
0.225,658.5,1210
0.025,88.5,1320.5
0.075,243,1284.5
0.125,387.5,1254.5
0.175,525.5,1229.5
0.225,656.5,1209
0.025,86.5,1320
0.075,241,1284
0.125,386,1253.75
0.175,524,1228.75
0.225,655.5,1209
0.025,84.5,1319.5
0.075,239,1283
0.125,384.5,1253
0.175,522.5,1228
0.225,653.5,1208
0.025,82.5,1318.5
0.075,237.5,1281.5
0.125,383,1252
0.175,521,1227
0.225,652.5,1207
0.025,79.5,1317
0.075,236,1280.5
0.125,381.5,1250.5
0.175,519.5,1226
0.225,652,1206
0.125,381,1249.5
0.175,519.5,1225
0.225,652,1204
0.075,233,1481.25
0.125,370,1434.5
0.175,501,1395.5
0.225,626,1364
0.025,85,1535.5
0.075,231.5,1481
0.125,368.5,1434.5
0.175,499.5,1395.5
0.225,624,1364
0.025,84,1535.5
0.075,230,1480.5
0.125,367,1434
0.175,498,1395
0.225,622.5,1363
0.025,81.5,1534.5
0.075,228,1479.5
0.125,365.5,1433.5
0.175,496,1394.5
0.225,621,1363
0.025,79.5,1534
0.075,226,1478.5
0.125,364,1432.5
0.175,495,1394
0.225,620,1362
0.025,77,1533.75
0.075,224.5,1477.5
0.125,362.5,1431.5
0.175,493.5,1393
0.225,619,1361
0.125,361.5,1430.5
0.175,492.5,1392
0.225,619,1359
0.075,226,1678.25
0.125,356,1614.25
0.175,481,1561
0.225,599,1518
0.025,86,1751
0.075,224,1677
0.125,354,1613.75
0.175,478.5,1560.75
0.225,598,1518
0.025,84,1749.5
0.075,222,1676
0.125,352,1613.25
0.175,477,1560.5
0.225,596,1517
0.025,82,1749.5
0.075,221,1675.75
0.125,351,1613.25
0.175,476,1560.5
0.225,594,1517
0.025,80,1749.5
0.075,219,1675.25
0.125,350,1612.75
0.175,474,1560
0.225,593,1516
0.025,77,1751.5
0.075,218,1675.75
0.125,348,1613
0.175,472,1560
0.225,593,1516
0.125,347,1612.5
0.175,472,1559
0.225,592,1515
